"proj","Alt","month","CY","WY","Date.monCY","Season","Inflow.Q.m3","Outflow.Q.m3","mean.vol.km3","WRT.yr","mean.depth.m","mean.delta.min","mean.STG"
"LOCAR","ECB23L",6,2013,2013,2013-06-01,"Summer",264467644.026537,49018742.7902451,3.79119288033765,6.4451416344976,2.45937845277416,1.73093353817619,13.2309335381762
"LOCAR","ECB23L",6,2011,2011,2011-06-01,"Summer",33781642.088151,224548931.776799,2.53466447606281,0.940650387425825,1.88728511147792,0,10.3513888666002
"LOCAR","ECB23L",6,2010,2010,2010-06-01,"Summer",111769389.892811,150706931.055224,4.66615462701633,2.58014821345901,2.66512155363108,3.46358641011934,14.9635864101193
"LOCAR","ECB23L",6,2008,2008,2008-06-01,"Summer",68234345.6077103,44284237.0930772,2.11272458321558,3.97568962438228,1.65570893910404,0,9.29682227349561
"LOCAR","ECB23L",7,1991,1991,1991-07-01,"Summer",395839762.846602,23099709.5874986,3.62929758245153,13.0928687245477,2.4066263799826,1.38010390428241,12.8801039042824
"LOCAR","ECB23L",7,1992,1992,1992-07-01,"Summer",412487104.113385,56801605.9737457,4.31036099313795,6.32370763591062,2.54993093398999,2.78720909224648,14.2872090922465
"LOCAR","ECB23L",7,1982,1982,1982-07-01,"Summer",593669707.879295,25754455.5830887,3.93185569435988,12.7222507243293,2.48655507312729,2.02491127639678,13.5249112763968
"LOCAR","ECB23L",7,1989,1989,1989-07-01,"Summer",99915974.5006542,28987030.9070166,2.55780080508547,7.35329077938993,1.90073564530414,0,10.4089896179847
"LOCAR","ECB23L",7,1988,1988,1988-07-01,"Summer",98905989.8691061,27502050.5863693,3.85079882972918,11.6682173014574,2.47475722598973,1.85801252573281,13.3580125257328
"LOCAR","ECB23L",7,1986,1986,1986-07-01,"Summer",249939837.258774,35857945.7505675,3.66747860314208,8.52316580136692,2.42330031636994,1.46549253450928,12.9654925345093
"LOCAR","ECB23L",7,1996,1996,1996-07-01,"Summer",182773558.812659,218076552.583227,5.35456051948953,2.04613183461727,2.99850220389819,4.73796727950711,16.2379672795071
